postscript	lang	text	fallback	url	group	full_name
ShadowsIntoLight	ar	شادو انتو	Shadows Into Light	https://storage.appchief.dev/fonts/June2026/h3k2B2rT0ljvEU66UnJd.ttf	العربية	Shadows Into Light
ThickNaskhSwash	ar	نسخ سواش	Thick Naskh Swash	https://storage.appchief.dev/fonts/April2026/UkgnBOAm8e0NObddTsc7.ttf	العربية	Thick Naskh Swash
MonacoKufi	ar	موناكو كوفي	Monaco-Kufi	https://storage.appchief.dev/fonts/April2026/KlmCYsOWmcqjSoXXJFHd.ttf	العربية	Monaco-Kufi
QahwaArabic-Black	ar	قهوة	Qahwa Arabic	https://storage.appchief.dev/fonts/April2026/YqzJZBPt3uH3npNFnlfk.ttf	العربية	Qahwa Arabic Black
QahwaArabicSalt	ar	قهوة	Qahwa Arabic-Salt	https://storage.appchief.dev/fonts/April2026/CNURopmGisvz4rxdHUQv.ttf	العربية	Qahwa Arabic-Salt
BadeenDisplay-Regular	ar	بادين	Badeen Display	https://storage.appchief.dev/fonts/October2025/DTrnzqwHmWMa2EdCRFSG.ttf	العربية	Badeen Display Regular
GraphicSchool-Regular	ar	جرافيك سكول	Graphic School	https://storage.appchief.dev/fonts/November2025/vknP5XCs5HVnM1EuYHdv.ttf	العربية	Graphic School Regular
MTLombardiaLuxury	ar	لومبارديا	MT Lombardia Luxury	https://storage.appchief.dev/fonts/November2025/CAg0LroWCdZKlmGEqNe1.ttf	العربية	MT Lombardia Luxury
MT-STRAWBERRYSolid	ar	فراولة	MT-STRAWBERRY Solid	https://storage.appchief.dev/fonts/December2025/LgqjMGQ6M9RxgbRNTIBK.ttf	العربية	MT-STRAWBERRY Solid
MTNitroDisplay	ar	نيترو	MT Nitro Display	https://storage.appchief.dev/fonts/December2025/fvAVAiRgPJY0ivZbBKg6.ttf	العربية	MT Nitro Display
VOXOR	ar	فوكسو	VOXO R	https://storage.appchief.dev/fonts/January2026/sUPBU3s1dFjPxMvXk5o8.ttf	العربية	VOXO R
VOXOB	ar	فوكسو	VOXO B	https://storage.appchief.dev/fonts/January2026/jEW8TxBxD3HTY7G7B3Cv.ttf	العربية	VOXO B
HAYA-SemiBold	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/B39g7WxosNgEKgaRy2el.ttf	العربية	HAYA SemiBold
HAYA-ExtraBold	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/UtxsImnCvFZuqfLPu8IK.ttf	العربية	HAYA ExtraBold
HAYA-Bold	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/ijTB5eCQgsCWsQs28z6S.ttf	العربية	HAYA Bold
HAYA-Black	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/6Fn6XJvXHOGYcUVKLNKv.ttf	العربية	HAYA Black
HAYA-Regular	ar	هيا	HAYA	https://storage.appchief.dev/fonts/January2026/GPHFaNKKJicoFoJcGtdv.ttf	العربية	HAYA Regular
Jarood	ar	جارود	Jarood	https://storage.appchief.dev/fonts/April2026/WTjf0Ktrfwbfio9TgLXO.ttf	العربية	Jarood
TROX-R	ar	تروكس	TROX R	https://storage.appchief.dev/fonts/October2025/Ol4DhQWAeKoC4D8fyzze.ttf	العربية	TROX R
Rubik-Light	ar	روبيك	Rubik	https://storage.appchief.dev/fonts/April2025/HIO7iP4sn6au0D2fzXrd.ttf	العربية	Rubik Light
Saudi-Bold	ar	سعودي	Saudi	https://storage.appchief.dev/fonts/April2025/YwNBMG0mNZGHbg8iUXqD.ttf	العربية	Saudi Bold
Saudi-Medium	ar	سعودي	Saudi	https://storage.appchief.dev/fonts/April2025/HMDfd22DWqLNZ6aCJjZl.ttf	العربية	Saudi Medium
Saudi-Regular	ar	سعودي	Saudi	https://storage.appchief.dev/fonts/April2025/9vEGOXv6zkusMMNvai1a.ttf	العربية	Saudi
TheYearofHandicrafts-Regular	ar	عام الحرف	The Year of Handicrafts	https://storage.appchief.dev/fonts/January2025/8EhuBLx2x5YKfPomN7Nk.ttf	العربية	The Year of Handicrafts Regular
TheYearofHandicrafts-SemiBold	ar	عام الحرف	The Year of Handicrafts SemBd	https://storage.appchief.dev/fonts/January2025/aeLHewfAhPlWHKL1MQTu.ttf	العربية	The Year of Handicrafts SemBd
TheYearofHandicrafts-Black	ar	عام الحرف	The Year of Handicrafts	https://storage.appchief.dev/fonts/January2025/gA2j4gSiiLFsWNqiLVVv.ttf	العربية	The Year of Handicrafts Black
MedadPronz-Regular	ar	مداد	Medad Pronz	https://storage.appchief.dev/fonts/January2025/jlrwJkRGD4GpvPjW29wA.ttf	العربية	Medad Pronz Regular
Wingx	ar	وينجكس	Wingx	https://storage.appchief.dev/fonts/December2024/MSbsnuN6YgTm0aufAdOh.ttf	العربية	Wingx
Tajawal-Regular	ar	تجوال	Tajawal	https://storage.appchief.dev/fonts/December2024/ZR2A5OENrR2kmWrZjjPj.ttf	العربية	Tajawal
Tajawal-Bold	ar	تجوال	Tajawal	https://storage.appchief.dev/fonts/December2024/HH99is8Uk4rDVfd0vdaE.ttf	العربية	Tajawal-Bold
LANTX	ar	لانتكس	LANTX	https://storage.appchief.dev/fonts/October2024/iiqH773sQTtKfrYEk4Xo.ttf	العربية	LANTX
LANTX-Bold	ar	لانتكس	LANTX	https://storage.appchief.dev/fonts/October2024/tRM5BwQwTw4RJmCzAzt4.ttf	العربية	LANTX Bold
LANTX-Light	ar	لانتكس	LANTX	https://storage.appchief.dev/fonts/October2024/orEcn3TKV1UrUDofOojT.ttf	العربية	LANTX Light
Zain-Light	ar	زين	Zain	https://storage.appchief.dev/fonts/October2024/kAyRN95NMYFyPDp1qdis.ttf	العربية	Zain Light
Zain-Bold	ar	زين	Zain	https://storage.appchief.dev/fonts/October2024/1iQphfde4sACxZQnI1jV.ttf	العربية	Zain Bold
Zain-Black	ar	زين	Zain	https://storage.appchief.dev/fonts/October2024/xgNJfoFHitIyv6A7vV6e.ttf	العربية	Zain Black
Beiruti-Bold	ar	بيروتي	Beiruti	https://storage.appchief.dev/fonts/October2024/wUjmrkige6M2AEejxxAk.ttf	العربية	Beiruti Bold
Beiruti-Regular	ar	بيروتي	Beiruti	https://storage.appchief.dev/fonts/October2024/EUvmZBtHPVxvqTUbEeJu.ttf	العربية	Beiruti Regular
Beiruti-Light	ar	بيروتي	Beiruti	https://storage.appchief.dev/fonts/October2024/R8Z87PuZ2TEdUGDexPOm.ttf	العربية	Beiruti Light
ElMessiri-Bold	ar	المسيري	El Messiri	https://storage.appchief.dev/fonts/April2024/qLt5GHVTrqKtfzGYcEdH.ttf	العربية	El Messiri Bold
ElMessiri-Medium	ar	المسيري	El Messiri	https://storage.appchief.dev/fonts/April2024/sKeKCb0laZwPUbhmomLM.ttf	العربية	El Messiri Medium
Mada-Bold	ar	مدى	Mada	https://storage.appchief.dev/fonts/May2024/FHGiWqmooZLfC8klxGlL.ttf	العربية	Mada Bold
Mada-SemiBold	ar	مدى	Mada	https://storage.appchief.dev/fonts/May2024/nVmGSPXGQEhNQ177SnCO.ttf	العربية	Mada SemiBold
Mada-Regular	ar	مدى	Mada	https://storage.appchief.dev/fonts/May2024/O83mwBur9O041sJ5vuWD.ttf	العربية	Mada Regular
DGFaseh	ar	فصيح	DG Faseh	https://storage.appchief.dev/fonts/November2023/JOf0CwQ15S2Gi1aWo4a5.ttf	العربية	DG Faseh
DGFaseh-Bold	ar	فصيح	DG Faseh	https://storage.appchief.dev/fonts/November2023/I19jTsuM4LqRdPNAxbnU.ttf	العربية	DG Faseh Bold
DGTrika	ar	تريكا	DG Trika	https://storage.appchief.dev/fonts/December2023/90qQm8vz7fsrijWqdaIt.ttf	العربية	DG Trika
DGTrika-Bold	ar	تريكا	DG Trika	https://storage.appchief.dev/fonts/December2023/My1sWcAY3f6p1QxlKlPU.ttf	العربية	DG Trika Bold
Alexandria-SemiBold	ar	الإسكندرية	Alexandria	https://storage.appchief.dev/fonts/December2023/aScOwOhcjJQSTe821Pnm.ttf	العربية	Alexandria SemiBold
Alexandria-Regular	ar	الإسكندرية	Alexandria	https://storage.appchief.dev/fonts/December2023/20lGLzZXNpPd4DBHEH0l.ttf	العربية	Alexandria Regular
Alexandria-Bold	ar	الإسكندرية	Alexandria	https://storage.appchief.dev/fonts/December2023/PDNU7ZuwfpiUt6fUaKkX.ttf	العربية	Alexandria Bold
Alexandria-Black	ar	الإسكندرية	Alexandria	https://storage.appchief.dev/fonts/December2023/LzUXBah75uiVe4uJrUoc.ttf	العربية	Alexandria Black
BalooBhaijaan2-Regular	ar	بالو بهايجان	Baloo Bhaijaan 2	https://storage.appchief.dev/fonts/February2024/CjgtI7jBS7mblbWOHQ1B.ttf	العربية	Baloo Bhaijaan 2 Regular
BalooBhaijaan2-Bold	ar	بالو بهايجان	Baloo Bhaijaan 2	https://storage.appchief.dev/fonts/February2024/bSRaW9pFfwewKFgbfcOE.ttf	العربية	Baloo Bhaijaan 2 Bold
BalooBhaijaan2-ExtraBold	ar	بالو بهايجان	Baloo Bhaijaan 2	https://storage.appchief.dev/fonts/February2024/sPs3y0i2c79nPCV1mfRn.ttf	العربية	Baloo Bhaijaan 2 ExtraBold
RHZak-Bold	ar	زاك	RH-Zak	https://storage.appchief.dev/fonts/March2024/m0oBfQ3IR4qmirwSobWV.ttf	العربية	RH-Zak Bold
DGMataryah	ar	المطرية	DG Mataryah	https://storage.appchief.dev/fonts/October2023/7tSE3dIkzr0XkSpuTCYI.ttf	العربية	DG Mataryah
DGAgnadeen	ar	أجنادين	DG Agnadeen	https://storage.appchief.dev/fonts/October2023/0JxfSDYw8qngveI4GymC.ttf	العربية	DG Agnadeen
DGAgnadeen-Bold	ar	أجنادين	DG Agnadeen	https://storage.appchief.dev/fonts/October2023/GgKm7gr6K5Bk9D0wvUVy.ttf	العربية	DG Agnadeen Bold
DGAgnadeen-Extrabold	ar	أجنادين	DG Agnadeen Extra-bold	https://storage.appchief.dev/fonts/October2023/2wkiceZ9CARrgyjAX5Xc.ttf	العربية	DG Agnadeen Extra-bold
DGAgnadeen-Light	ar	أجنادين	DG Agnadeen	https://storage.appchief.dev/fonts/October2023/mm5B9Jl3tuWDUJkMeczv.ttf	العربية	DG Agnadeen Light
Watad-Regular	ar	وتد	Watad	https://storage.appchief.dev/fonts/August2023/9c6YiyVIV4WcqmVY7eGL.ttf	العربية	Watad Regular
ReadexPro-Regular	ar	ريدكس	Readex Pro	https://storage.appchief.dev/fonts/September2023/u4VCVeKHTsLi5y9Srh9P.ttf	العربية	Readex Pro Regular
AMoshref-Naskh	ar	المشرف	AMoshref-Naskh	https://storage.appchief.dev/fonts/September2025/twQ677nJ7ApStuFkVLeE.ttf	العربية	AMoshref-Naskh
Jomhuria-Regular	ar	جمهورية	Jomhuria	https://storage.appchief.dev/fonts/September2024/7l9D1auDxOH6hIFzCDQt.ttf	العربية	Jomhuria
TheYearofTheCamel-ExtraLight	ar	عام الإبل	The Year of The Camel	https://storage.appchief.dev/fonts/August2024/PWRjzcUwyP1BUUOdepV3.ttf	العربية	The Year of The Camel ExtraLight
TheYearofTheCamel-Medium	ar	عام الإبل	The Year of The Camel	https://storage.appchief.dev/fonts/August2024/59AM8QJJtaf3VBBtYFgI.ttf	العربية	The Year of The Camel Medium
TheYearofTheCamel-Bold	ar	عام الإبل	The Year of The Camel	https://storage.appchief.dev/fonts/August2024/8zBTFcyr7g7rz8G1u6cD.ttf	العربية	The Year of The Camel Bold
Lateef-Regular	ar	لطيف	Lateef	https://storage.appchief.dev/fonts/May2024/NQdRRCeeywe6oNHbp0eK.ttf	العربية	Lateef
Lateef-SemiBold	ar	لطيف	Lateef	https://storage.appchief.dev/fonts/May2024/niXywN8qKyULweeC7dHl.ttf	العربية	Lateef SemiBold
Lateef-Bold	ar	لطيف	Lateef	https://storage.appchief.dev/fonts/May2024/RLxS3QwcP4wSA6vUd4oy.ttf	العربية	Lateef Bold
MarkaziText-Regular	ar	مركزي	Markazi Text	https://storage.appchief.dev/fonts/March2024/Hv9OeIhrbrdHizPIE3By.ttf	العربية	Markazi Text Regular
MarkaziText-Medium	ar	مركزي	Markazi Text	https://storage.appchief.dev/fonts/March2024/ruiv08WAkBZSAscAm15k.ttf	العربية	Markazi Text Medium
DGSahabah	ar	صحابة	DG Sahabah	https://storage.appchief.dev/fonts/January2024/eqiLSwOATS7gYndHALLi.ttf	العربية	DG Sahabah
DGSahabah-Light	ar	صحابة	DG Sahabah	https://storage.appchief.dev/fonts/January2024/BdFU7gHKclGTS4mLzaHX.ttf	العربية	DG Sahabah Light
DGSahabah-Bold	ar	صحابة	DG Sahabah	https://storage.appchief.dev/fonts/January2024/v3Lvu6ZMLPa6FlAVKZEV.ttf	العربية	DG Sahabah Bold
Vazirmatn-ExtraLight	ar	وزيرمتن	Vazirmatn	https://storage.appchief.dev/fonts/November2023/uGENRqzUwESWBtdVIgD6.ttf	العربية	Vazirmatn ExtraLight
Vazirmatn-Regular	ar	وزيرمتن	Vazirmatn	https://storage.appchief.dev/fonts/url/Dxx78j6PP2D_kU2muijPEe1n2vVbfJRklWgzOReZ72DF_QY.ttf	العربية	Vazirmatn Regular
Vazirmatn-Medium	ar	وزيرمتن	Vazirmatn	https://storage.appchief.dev/fonts/November2023/A7fbDQTICzreebAxJnqL.ttf	العربية	Vazirmatn Medium
Vazirmatn-Bold	ar	وزيرمتن	Vazirmatn	https://storage.appchief.dev/fonts/November2023/51VKEObPMOmu0jgvqOau.ttf	العربية	Vazirmatn Bold
MasmakBHD-Bold	ar	مصمك	MasmakBHD	https://storage.appchief.dev/fonts/August2023/7BJmDLbqh6wYOTTtGlda.ttf	العربية	MasmakBHD Bold
KFGQPCUthmanTahaNaskh-Bold	ar	عثمان طه	KFGQPC Uthman Taha Naskh	https://storage.appchief.dev/fonts/August2023/Iym8CQhN8DPz9CGGTmvu.ttf	العربية	KFGQPC Uthman Taha Naskh Bold
Sultan_normal.edit:mezajeey	ar	سلطان	Sultan_normal.edit:mezajeey	https://storage.appchief.dev/fonts/February2021/Z3nNzHwBwwMo4v5raSJY.otf	العربية	Sultan_normal.edit:mezajeey
Khalid Art bold	ar	خالد آرت	Khalid Art bold	https://storage.appchief.dev/fonts/February2021/YAgYa1USgs9QW5nj3Yt1.ttf	العربية	Khalid Art bold
VIPTraisac-Regular	ar	تريساك	VIP Traisac	https://storage.appchief.dev/fonts/February2021/UbMaOFnZXyB4lkVApvJQ.otf	العربية	VIP Traisac Regular
VIPTraisac-Bold	ar	تريساك	VIP Traisac	https://storage.appchief.dev/fonts/February2021/CwtsJj3s3NRuQb7233VB.otf	العربية	VIP Traisac Bold
BahijMuna-Black	ar	بهيج منى	Bahij Muna	https://storage.appchief.dev/fonts/February2021/738mLMHOfm05tsTrEHq5.ttf	العربية	Bahij Muna Black
AmiriQuran-Regular	ar	أميري قرآن	Amiri Quran	https://storage.appchief.dev/fonts/February2021/c3dgjcfldm3eNvc9NCvb.ttf	العربية	Amiri Quran
ArabicPoetry-Medium	ar	شعر عربي	Arabic Poetry	https://storage.appchief.dev/fonts/August2023/W6MzIyCYBu4D7KriMj4T.ttf	العربية	Arabic Poetry Medium
AraAlBayan-Bold	ar	البيان	Ara Al Bayan	https://storage.appchief.dev/fonts/February2021/x6fOSR3KqkfaJu4omUjb.otf	العربية	Ara Al Bayan Bold
Arbaeen	ar	أربعين	Arbaeen	https://storage.appchief.dev/fonts/February2021/VDSiWfwORAaNLJWthbEt.ttf	العربية	Arbaeen
AZ Topaz	ar	توباز	AZ Topaz	https://storage.appchief.dev/fonts/February2021/Q0hIGQ3x1dgZQRfVMQf9.ttf	العربية	AZ Topaz
BRoya	ar	رؤيا	B Roya	https://storage.appchief.dev/fonts/February2021/iLVM7KIpBqKryas6O57h.ttf	العربية	B Roya
BahijInsan	ar	بهيج إنسان	Bahij Insan	https://storage.appchief.dev/fonts/February2021/cZIcqNV87ywvadTKUEuQ.ttf	العربية	Bahij Insan
DimaNaskh	ar	ديما نسخ	Dima Naskh	https://storage.appchief.dev/fonts/February2021/IPqoHCQVXpPjwrXY9GfY.ttf	العربية	Dima Naskh
Dubai-Regular	ar	دبي	Dubai	https://storage.appchief.dev/fonts/February2021/7HthfzsEX04MIoTKnxbX.otf	العربية	Dubai Regular
Kamva	ar	كامفا	Kamva	https://storage.appchief.dev/fonts/February2021/lOqA6skjYdOJcw9G2aQF.ttf	العربية	Kamva
MolsaqArabic-ExtraBold	ar	ملصق	Molsaq Arabic	https://storage.appchief.dev/fonts/February2021/qTt4otpMpfK8fkVhNWg2.ttf	العربية	MolsaqArabic-ExtraBold
PTBoldHeading	ar	عناوين	PT Bold Heading	https://storage.appchief.dev/fonts/February2021/ZUGPT5u1A3OqfmQB9peY.ttf	العربية	PT Bold Heading
Rekaa-Bold	ar	رقعة	Rekaa	https://storage.appchief.dev/fonts/February2021/N5wmURy9aX6WJzpYKXTj.ttf	العربية	Rekaa Bold
Shabnam-Light	ar	شبنم	Shabnam	https://storage.appchief.dev/fonts/February2021/esq42A1BcrXCWzty7peY.ttf	العربية	Shabnam Light
KFGQPCUthmanicScriptHAFS	ar	حفص	KFGQPC Uthmanic Script HAFS	https://storage.appchief.dev/fonts/February2021/q5ufvyHMab8nCiNzHrWh.otf	العربية	KFGQPC Uthmanic Script HAFS
AzarMehrMonospacedSerifRegular	ar	آذرمهر	AzarMehr Monospaced Serif	https://storage.appchief.dev/fonts/February2021/vIvNfZBBESnzwj0FGv8c.ttf	العربية	AzarMehr Monospaced Serif Regular
AzarMehrMonospacedSansBold	ar	آذرمهر	AzarMehr Monospaced Sans	https://storage.appchief.dev/fonts/February2021/6zZXWG6q2TTYiG5mVGvP.ttf	العربية	AzarMehr Monospaced Sans Bold
Ah-naskh-hadith	ar	نسخ حديث	Ah-naskh-hadith	https://storage.appchief.dev/fonts/February2021/CDfz8BIGOn0brpAzKDe0.ttf	العربية	Ah-naskh-hadith
SFKhaled-Bold	ar	خالد	SF Khaled	https://storage.appchief.dev/fonts/January2022/1Jklra1JcnV7L5MK4J5l.ttf	العربية	SF Khaled Bold
SFKhaled-Medium	ar	خالد	SF Khaled	https://storage.appchief.dev/fonts/January2022/FMJljWULojfnlE17bnwP.ttf	العربية	SF Khaled Medium
SFKhaled-Light	ar	خالد	SF Khaled	https://storage.appchief.dev/fonts/February2021/2VbbDUfXF9ikk8OQuUdt.otf	العربية	SF Khaled Light
IBMPlexSansArabic-Bold	ar	بلكس	IBM Plex Sans Arabic	https://storage.appchief.dev/fonts/url/Qw3NZRtWPQCuHme67tEYUIx3Kh0PHR9N6YOG-dCTVsVJKxTs.ttf	العربية	IBM Plex Sans Arabic Bold
IBMPlexSansArabic-Regular	ar	بلكس	IBM Plex Sans Arabic	https://storage.appchief.dev/fonts/url/Qw3CZRtWPQCuHme67tEYUIx3Kh0PHR9N6bs61vSbfdlA.ttf	العربية	IBM Plex Sans Arabic Regular
IBMPlexSansArabic-Thin	ar	بلكس	IBM Plex Sans Arabic	https://storage.appchief.dev/fonts/url/Qw3MZRtWPQCuHme67tEYUIx3Kh0PHR9N6YNe3PC5eMlAMg0.ttf	العربية	IBM Plex Sans Arabic Thin
1LionsysReqa-Regular	ar	ليونسيس	1Lionsys Reqa	https://storage.appchief.dev/fonts/February2021/0wGU5K9TatiMcjHdI4nh.ttf	العربية	1Lionsys Reqa Regular
ArefRuqaa-Regular	ar	عارف رقعة	Aref Ruqaa	https://storage.appchief.dev/fonts/February2021/fVGEHDDBRGbQieB2edsb.ttf	العربية	Aref Ruqaa
ArefRuqaa-Bold	ar	عارف رقعة	Aref Ruqaa	https://storage.appchief.dev/fonts/February2021/TuLJztCj9YIM9wwJSbmJ.ttf	العربية	Aref Ruqaa Bold
ArefRuqaaInk-Regular	ar	عارف رقعة	Aref Ruqaa Ink	https://storage.appchief.dev/fonts/June2023/zm9n6fSYIqOuWlgOcfy2.ttf	العربية	Aref Ruqaa Ink Regular
ArefRuqaaInk-Bold	ar	عارف رقعة	Aref Ruqaa Ink	https://storage.appchief.dev/fonts/June2023/eouamIWZcsOoCTv2tdFD.ttf	العربية	Aref Ruqaa Ink Bold
BArabicStyle	ar	ستايل	B Arabic Style	https://storage.appchief.dev/fonts/February2021/bent55eRbJeMVaTbFMn8.ttf	العربية	B Arabic Style
Barada Reqa	ar	بردى	Barada Reqa	https://storage.appchief.dev/fonts/February2021/piuu8o0O9FmfqWddXkXp.ttf	العربية	Barada Reqa
HebahFont	ar	هبة	Hebah Font	https://storage.appchief.dev/fonts/February2021/pKus1j4sUAvO6pGtUf9f.ttf	العربية	Hebah Font
LaylaRuqaa	ar	ليلى	LaylaRuqaa	https://storage.appchief.dev/fonts/February2021/j5KJRjhaiEzwmVrLuz96.ttf	العربية	LaylaRuqaa
Rakkas-Regular	ar	رقاص	Rakkas	https://storage.appchief.dev/fonts/February2021/SIBXZ754GxPAWQlxOGnF.ttf	العربية	Rakkas Regular
THARWATEMARARUQAA	ar	عمارة	THARWAT EMARA RUQAA	https://storage.appchief.dev/fonts/February2021/jTqKfOsPKvY5VWg9fypl.ttf	العربية	THARWAT EMARA RUQAA
THARWATEMARARUQAALIGHT	ar	عمارة	THARWAT EMARA RUQAA LIGHT	https://storage.appchief.dev/fonts/July2021/uV8nSZVQ8HbENMeYsQts.otf	العربية	THARWAT EMARA RUQAA LIGHT
THARWATEMARARUQAALIGHT2	ar	عمارة	THARWAT EMARA RUQAA LIGHT2	https://storage.appchief.dev/fonts/February2021/j0OIqWG31LPXX7PgvqF8.ttf	العربية	THARWAT EMARA RUQAA LIGHT2
THARWATEMARARUQAALIGHTrand	ar	عمارة	THARWAT EMARA RUQAA LIGHT rand	https://storage.appchief.dev/fonts/February2021/VIh9Owb4WKxdpCGD7uGX.ttf	العربية	THARWAT EMARA RUQAA LIGHT rand
THARWATEMARARUQAAhollow	ar	عمارة	THARWAT EMARA RUQAA hollow	https://storage.appchief.dev/fonts/July2021/gX6yvrXYPUVo9uUMUnMk.otf	العربية	THARWAT EMARA RUQAA hollow
WaseemLight	ar	وسيم	Waseem	thumbgen/fonts/waseemlight.ttf	العربية	Waseem Light
Waseem	ar	وسيم	Waseem	thumbgen/fonts/waseem.ttf	العربية	Waseem Regular
Wqalam	ar	قلم	W_qalam	https://storage.appchief.dev/fonts/February2021/a8cpFHgWu9L1nahbrPCX.ttf	العربية	W_qalam
KFGQPCAlphabetDotted	ar	منقط	KFGQPC Alphabet Dotted	https://storage.appchief.dev/fonts/September2023/6DHGlLbYfgus0ISiZn76.ttf	العربية	KFGQPC Alphabet Dotted
ArabicEjaza	ar	إجازة	Arabic Ejaza	https://storage.appchief.dev/fonts/February2021/RGkKqnIIXFgUPyjTehYK.ttf	العربية	Arabic Ejaza
DecoTypeThuluthII	ar	الثلث	DecoType Thuluth II	https://storage.appchief.dev/fonts/February2021/uJEV4QlG6jkVKcZn3qKF.ttf	العربية	DecoType Thuluth II
Islamicsixt@blog3alm	ar	إسلامي	Islamic six	https://storage.appchief.dev/fonts/February2021/GcDYWjKk48TFis6Mlt5U.ttf	العربية	Islamic six    t@blog3alm
JassminTypo	ar	ياسمين	Jassmin Typo	https://storage.appchief.dev/fonts/February2021/DSm11HszQ6OJMaA66WZ7.ttf	العربية	Jassmin Typo
kelk	ar	كلك	kelk	https://storage.appchief.dev/fonts/February2021/fRJXZwviVlmEZTiFlL6C.ttf	العربية	kelk
BDavat	ar	دوات	B Davat	https://storage.appchief.dev/fonts/July2021/kuR6gjpbdavCaH5oONtI.ttf	العربية	B Davat
BFantezy	ar	فانتزي	B Fantezy	https://storage.appchief.dev/fonts/July2021/wKGp3ULTve2DB6zGq6rY.ttf	العربية	B Fantezy
MCSDiwanJalyS_U	ar	ديواني جلي	MCS Diwan Jaly	https://storage.appchief.dev/fonts/February2021/dkR6BOadtA2lQsxaKwpf.ttf	العربية	MCS Diwan  Jaly S_U
ULAmjad	ar	أمجد	UL Amjad	https://storage.appchief.dev/fonts/February2021/4T1Vbj1q1Jvoy1pTmoDc.ttf	العربية	UL Amjad
IranNastaliq	ar	إيران نستعليق	IranNastaliq	https://storage.appchief.dev/fonts/August2025/qAWLjhwwBnDK6vNG9fiF.ttf	العربية	IranNastaliq
Gulzar-Regular	ar	جولزار	Gulzar	https://storage.appchief.dev/fonts/August2023/Q8ISNQPAcAREAWtCLlqy.ttf	العربية	Gulzar Regular
FarsiSimpleBold	ar	فارسي بسيط	FarsiSimpleBold	https://storage.appchief.dev/fonts/February2021/JC85l4pMtwtwBZYxLg5R.ttf	العربية	FarsiSimpleBold
JameelNooriKasheeda	ar	جميل نوري	Jameel Noori Kasheeda	https://storage.appchief.dev/fonts/February2021/mQUsYcL4rjbPjgvwllLr.ttf	العربية	Jameel Noori Kasheeda
noorehuda	ar	نور الهدى	noorehuda	https://storage.appchief.dev/fonts/February2021/i8sVKMpiNOedXXFunfWC.ttf	العربية	noorehuda
NotoNastaliqUrdu-Bold	ar	نوتو أردو	Noto Nastaliq Urdu	https://storage.appchief.dev/fonts/February2021/c87xiVsDd7m3V2aAFrgr.ttf	العربية	Noto Nastaliq Urdu Bold
NotoNastaliqUrdu	ar	نوتو أردو	Noto Nastaliq Urdu	https://storage.appchief.dev/fonts/February2021/PR9u9Y7sEnMjLzEz1AtO.ttf	العربية	Noto Nastaliq Urdu
Almarai-Regular	ar	المراعي	Almarai	https://storage.appchief.dev/fonts/April2024/hxnGKhYSLiT7pC0ESk3N.ttf	العربية	Almarai
Almarai-Light	ar	المراعي	Almarai	https://storage.appchief.dev/fonts/April2024/wc4YBlmSaB30dAqlgTSN.ttf	العربية	Almarai Light
Almarai-ExtraBold	ar	المراعي	Almarai Extrabold	https://storage.appchief.dev/fonts/April2024/iSrXiu0T2jB2i6SLCjve.ttf	العربية	Almarai Extrabold
Almarai-Bold	ar	المراعي	Almarai	https://storage.appchief.dev/fonts/April2024/ZjooITB3mWtYCdqQZcnl.ttf	العربية	Almarai Bold
VEXA	ar	فيكسا	VEXA	https://storage.appchief.dev/fonts/April2024/2aNQ47aebmVuVrOKElJv.ttf	العربية	VEXA
Handjet-Bold	ar	هاندجيت	Handjet	https://storage.appchief.dev/fonts/May2024/dRaxuJfAftw8XmQviz0u.ttf	العربية	Handjet Bold
Handjet-SemiBold	ar	هاندجيت	Handjet	https://storage.appchief.dev/fonts/May2024/DoP7PhyUlsFBHJX2iOHi.ttf	العربية	Handjet SemiBold
Handjet-Regular	ar	هاندجيت	Handjet	https://storage.appchief.dev/fonts/May2024/ZEwXbzHK3zvuBVyMccfA.ttf	العربية	Handjet Regular
Fustat-Regular	ar	فسطاط	Fustat	https://storage.appchief.dev/fonts/July2024/Aij9me9OEOdUndHoWHKs.ttf	العربية	Fustat Regular
Fustat-ExtraBold	ar	فسطاط	Fustat	https://storage.appchief.dev/fonts/July2024/xVu62WlCCkqYDslSOilX.ttf	العربية	Fustat ExtraBold
Fustat-SemiBold	ar	فسطاط	Fustat	https://storage.appchief.dev/fonts/July2024/DhfIP3Utcm4Y1Ufu9fPp.ttf	العربية	Fustat SemiBold
QTSManga	ar	مانجا	QTS-Manga	https://storage.appchief.dev/fonts/November2023/EjVAslSPUWNFM9xlj4ql.ttf	العربية	QTS-Manga
QTSManga-Medium	ar	مانجا	QTS-Manga	https://storage.appchief.dev/fonts/November2023/ZNXCCZVURcEVXP7xOVCX.ttf	العربية	QTS-Manga Medium
QTSManga-Bold	ar	مانجا	QTS-Manga	https://storage.appchief.dev/fonts/November2023/rvme0zwRLqRc2U4M3C9X.ttf	العربية	QTS-Manga Bold
QTSManga-SemiBold	ar	مانجا	QTS-Manga	https://storage.appchief.dev/fonts/November2023/WNVSMgt4cqpTclKkNRP9.ttf	العربية	QTS-Manga Semi Bold
