postscript	lang	text	fallback	url	group	full_name
SilkRemington-Reg	en	Silk Remington-Reg	Silk Remington-Reg	https://storage.appchief.dev/fonts/March2022/EJ3O2fvmFoSxo2Llqt04.ttf	الانجليزية	Silk Remington-Reg
Cosmodrome-Monoline	en	Cosmodrome Monoline	Cosmodrome Monoline	https://storage.appchief.dev/fonts/March2022/gbGDyn0utQXFFqZMhWVe.ttf	الانجليزية	Cosmodrome Monoline
BlackStone-Regular	en	Black Stone	Black Stone	https://storage.appchief.dev/fonts/March2022/AAl3ajLOD8n0X3vuDUcz.ttf	الانجليزية	Black Stone
Ballet16pt-Regular	en	Ballet	Ballet	https://storage.appchief.dev/fonts/url/QGYyz_MYZA-HM4NjuGOVnUEXme1I4Xi3C4G-EiAou6Y.ttf	الانجليزية	Ballet 16pt Regular
Sacramento-Regular	en	Sacramento	Sacramento	https://storage.appchief.dev/fonts/url/buEzpo6gcdjy0EiZMBUG0CoV_NxLeiw.ttf	الانجليزية	Sacramento
Winterlady	en	Winterlady	Winterlady	https://storage.appchief.dev/fonts/February2021/iq3pabgH1bsvpmOUKqUp.ttf	الانجليزية	Winterlady
SundiaryDemo	en	Sundiary Demo	Sundiary Demo	https://storage.appchief.dev/fonts/February2021/qX7VQZy0w8Y2ZcWCXWXQ.ttf	الانجليزية	Sundiary Demo
Bonbon-Regular	en	Bonbon	Bonbon	https://storage.appchief.dev/fonts/url/0FlVVPeVlFec4ee_cDEAbQY5-A.ttf	الانجليزية	Bonbon Regular
AcademyEngravedLetPlain	en	Academy Engraved LET Plain	Academy Engraved LET Plain	https://storage.appchief.dev/fonts/February2021/v0NVItr25LeYWeQ7sewI.ttf	الانجليزية	Academy Engraved LET Plain
Trattatello	en	Trattatello	Trattatello	https://storage.appchief.dev/fonts/February2021/ltjs3PgRgo0YsPIz0sZL.ttf	الانجليزية	Trattatello
Browny Joy - Personal Use	en	Browny Joy - Personal Use	Browny Joy - Personal Use	https://storage.appchief.dev/fonts/February2021/Dniq97m6oqhNpzcQOWxj.otf	الانجليزية	Browny Joy - Personal Use
Rickon-Regular	en	Rickon	Rickon	https://storage.appchief.dev/fonts/February2021/QTKM65jQxW028f3IKpdm.ttf	الانجليزية	Rickon Regular
AbsoluteNeonScriptRegular	en	Absolute Neon Script	Absolute Neon Script	https://storage.appchief.dev/fonts/February2021/lQkTH9kmoY0NZQkrOYuz.ttf	الانجليزية	Absolute Neon Script
NeonAbsoluteSansRegular	en	Neon Absolute Sans	Neon Absolute Sans	https://storage.appchief.dev/fonts/February2021/1lbs7yQXGfvaTScE9H4A.ttf	الانجليزية	Neon Absolute Sans
AzonixRegular	en	Azonix	Azonix	https://storage.appchief.dev/fonts/February2021/vbsATxSpleLxB7X9Whaj.otf	الانجليزية	Azonix
Countryside	en	Countryside	Countryside	https://storage.appchief.dev/fonts/February2021/rb758YkbAD6wfzTjNEk1.ttf	الانجليزية	Countryside
